TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-6.508,0.0,110.54,33.695,0.0,265.45,0.0,0.382,0.0,90.644,0.0,2.677,0.0,0.768,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.645,0.0,-9999,-9999,27.8495,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200402,-2.639,0.0,175.724,60.81,0.0,277.629,0.0,0.77,0.0,91.185,0.0,4.062,0.0,0.932,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4888,0.0,-9999,-9999,27.8191,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200403,0.285,0.0,272.351,107.154,0.0,281.843,0.0,1.245,0.0,91.576,0.0,3.701,0.0,0.781,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.645,0.0,-9999,-9999,27.8495,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200404,6.162,0.0375,373.278,166.836,0.0409722,292.925,0.0375,2.551,0.0375,91.11,0.0,2.385,0.0,0.648,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.5695,0.0,-9999,-9999,27.8348,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200405,8.591,0.573925,450.326,183.046,0.575269,312.94,0.572581,2.709,0.573925,91.037,0.0,3.291,1.0,0.704,0.0,-9999,-9999,81.3737214797,0.520161290323,317.373447193,0.565860215054,356.803188766,0.786290322581,-9999,-9999,192.009619629,0.630376344086,27.8317069784,0.540994623656,367.124223259,0.548387096774,-9999,-9999,10.277,9.214,8.481,0.573925,0.573925,0.573925,-9999,-9999,-9999,-9999,-9999,1.0,18.5988,0.0,-9999,-9999,27.9222,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200406,12.616,0.906944,484.421,188.394,0.909028,340.48,0.904861,2.769,0.90625,91.34,0.0,5.275,1.0,0.613,0.0,-9999,-9999,107.597834883,0.793055555556,351.017935121,0.874305555556,418.640661177,0.666666666667,29.6226650552,0.502777777778,186.7112415,0.666666666667,35.00054564,0.800694444444,385.916113748,0.794444444444,-9999,-9999,13.83,12.519,11.785,0.90625,0.906944,0.906944,-9999,-9999,-9999,-9999,-9999,1.0,18.5695,0.0,-9999,-9999,27.8348,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200407,14.455,1.0,465.78,189.345,1.0,351.977,1.0,3.385,1.0,91.358,0.0,4.247,1.0,0.622,0.0,-9999,-9999,109.061610847,0.963037634409,339.928398064,0.999327956989,313.113725833,0.655241935484,34.3896453004,0.625,156.354825507,0.650537634409,36.4709405255,0.963709677419,391.713126238,0.965053763441,-9999,-9999,15.15,14.379,13.599,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,1.0,18.4648,0.0,-9999,-9999,27.7328,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200408,15.385,0.517473,399.873,184.53,0.524194,330.315,0.518145,4.774,0.516129,91.225,0.0,2.335,1.0,0.603,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.802,15.227,14.608,0.516129,0.516129,0.516129,-9999,-9999,-9999,-9999,-9999,1.0,18.645,0.0,-9999,-9999,27.8495,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200409,10.499,0.994444,306.307,142.542,0.997222,317.811,0.994444,3.444,0.0104167,91.671,0.0,3.196,1.0,0.652,0.0,-9999,-9999,60.0633405699,0.763194444444,204.182525046,0.644444444444,-9999,-9999,-9999,-9999,-9999,-9999,30.4107175065,0.779861111111,372.394972528,0.767361111111,-9999,-9999,12.837,12.962,12.882,0.994444,0.994444,0.994444,-9999,-9999,-9999,-9999,-9999,1.0,18.5695,0.0,-9999,-9999,27.8348,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200410,7.077,0.624328,206.719,80.341,0.974462,314.924,0.972446,1.815,0.0,91.337,0.0,3.515,0.999328,0.736,0.0,-9999,-9999,25.7691622857,0.89247311828,124.523924476,0.741935483871,-9999,-9999,-9999,-9999,-9999,-9999,18.0709329796,0.901209677419,354.206061523,0.894489247312,-9999,-9999,11.093,11.218,11.222,0.995296,0.995296,0.995296,-9999,-9999,-9999,-9999,-9999,1.0,18.5988,0.0,-9999,-9999,27.9222,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200411,1.135,0.0,128.04,34.954,0.284028,297.743,0.165278,0.693,0.0,91.352,0.0,3.97,0.0,0.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.267,10.992,11.179,0.08125,0.08125,0.08125,-9999,-9999,-9999,-9999,-9999,1.0,18.5695,0.0,-9999,-9999,27.8348,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200412,-2.206,0.0,93.4577,28.804,0.0,277.837,0.0,0.489,0.0,91.507,0.0,1.363,0.0,0.646,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.158,10.929,11.152,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.4648,0.0,-9999,-9999,27.7328,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200501,-3.054,0.0,110.54,32.452,0.0,271.929,0.0,0.585,0.0,91.322,0.0,4.266,0.0,0.946,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.163,10.935,11.155,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.645,0.0,-9999,-9999,27.8495,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200502,-5.648,0.0,174.219,65.005,0.0,263.436,0.0,0.5,0.0,91.094,0.0,3.597,0.0,0.697,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.225,10.966,11.176,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.6019,0.0,-9999,-9999,27.9316,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200503,-2.129,0.0,268.929,132.894,0.0,260.524,0.0,1.243,0.0,91.15,0.0,1.707,0.0,0.794,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.563,13.674,12.994,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.4648,0.0,-9999,-9999,27.7328,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
