TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200411,26.422,1.0,402.584,238.705,1.0,412.214,0.0,7.772,1.0,100.474,1.0,1.58,1.0,2.803,1.0,0.332500733474,0.940972222222,159.809243056,1.0,460.943625,1.0,-9999,-9999,27.9404513889,1.0,-9999,-9999,377.899,1.0,25.675,25.726,1.0,1.0,11.226,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,103.938,1.0,-9999,1.48589,40.4125,1.0,-9999,0.71161,-0.597227,0.975694,0.183006,-0.973891,-0.788557,-0.725188,0.988194,0.983333,0.977778,10.0371,9.7518,9.85307,10.0115,10.6433,10.5745,10.6718,10.777,8.36042,7.94293,8.00765,8.23851,9.65602,9.57328,9.63961,9.7428,-9999,-9999
200412,26.187,1.0,389.449,216.869,1.0,413.51,0.0,7.168,1.0,100.505,1.0,2.045,1.0,2.681,1.0,0.310002737022,0.891801075269,143.295396505,1.0,416.998373656,1.0,-9999,-9999,25.8478360215,1.0,-9999,-9999,378.498,0.999328,25.541,25.69,1.0,1.0,10.722,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,93.8929,0.999328,-9999,1.37321,33.7169,0.999328,-9999,0.668922,-0.666132,0.986559,0.180369,-0.794896,-0.694771,-0.625246,0.980511,0.979839,0.981855,9.4647,9.30122,9.6121,9.88063,9.94275,10.0682,10.316,10.5952,8.52219,8.36391,8.44224,8.62509,9.85079,9.68046,9.85079,9.92008,-9999,-9999
200501,25.557,1.0,398.243,161.032,1.0,415.135,0.0,5.242,1.0,100.483,1.0,13.987,1.0,2.523,1.0,0.324767765311,0.998655913978,116.814254032,1.0,301.72905914,1.0,-9999,-9999,17.9648521505,1.0,-9999,-9999,388.445,0.999328,25.411,25.584,1.0,1.0,15.465,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,87.4107,0.997984,-9999,1.31595,9.72838,0.997984,-9999,0.528628,0.898673,0.997312,0.202455,0.765634,0.845166,0.911617,0.997312,0.99664,0.99664,9.49546,9.42233,9.53142,9.80816,8.40805,8.5823,8.68001,8.99158,9.39071,8.93429,9.20603,9.47584,9.01716,8.91119,9.03945,9.12274,-9999,-9999
200502,25.752,1.0,420.783,184.703,0.995536,413.675,0.0,6.072,1.0,100.515,1.0,7.936,1.0,2.966,1.0,0.389380489552,0.886160714286,139.47953869,1.0,344.7509375,1.0,-9999,-9999,19.8615252976,1.0,-9999,-9999,381.627,0.987351,25.419,25.529,1.0,1.0,19.308,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,112.966,0.994048,-9999,1.44763,7.19916,0.997024,-9999,0.646375,-1.13356,0.985119,0.217181,-1.19823,-1.13672,-0.906617,0.985119,0.985119,0.982887,10.1408,10.1408,10.4725,10.7796,11.3102,11.3729,11.5828,11.7343,10.0496,8.91834,9.14325,9.41193,11.3513,10.7668,10.9228,11.1271,-9999,-9999
200503,26.172,1.0,437.416,198.891,1.0,412.472,0.0,7.819,1.0,100.694,1.0,3.271,1.0,3.45,0.969086,0.46569106475,0.998655913978,145.427735215,1.0,370.513467742,1.0,-9999,-9999,21.6966664427,0.956317204301,-9999,-9999,378.315,0.770161,25.509,25.626,0.998656,0.998656,15.031,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,121.588,0.995968,-9999,1.52099,4.99338,0.998656,-9999,0.654208,-1.70621,0.749328,0.182347,-1.71499,-1.6901,-1.65628,0.749328,0.751344,0.745968,7.96515,8.04536,8.32889,8.65328,9.67986,9.7362,10.0398,10.3263,8.20525,7.65167,7.85902,8.00839,10.765,10.5055,10.5791,10.6988,-9999,-9999
200504,25.466,1.0,436.954,145.827,1.0,411.721,0.0,4.981,1.0,100.623,1.0,22.113,1.0,2.938,0.998611,0.400422058736,0.975,114.304390957,0.999305555556,270.003090278,1.0,-9999,-9999,14.4626736111,1.0,-9999,-9999,390.474,0.997917,25.27,25.408,1.0,1.0,21.315,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,100.456,0.994444,-9999,1.37862,-4.50354,0.995139,-9999,0.608177,-0.762008,0.994444,0.202021,-0.87928,-0.767161,-0.698765,0.99375,0.994444,0.994444,8.05878,7.83447,8.05453,8.1766,8.8984,8.73349,8.82074,8.871,9.74954,9.92109,10.0646,10.3193,9.81432,9.99558,10.0535,10.1042,-9999,-9999
200505,25.699,1.0,423.707,199.791,1.0,410.136,0.0,5.493,1.0,100.6,1.0,16.581,1.0,2.449,1.0,0.332857988849,0.715725806452,150.601087709,0.999327956989,373.223366935,1.0,-9999,-9999,19.6877150538,1.0,-9999,-9999,392.143,0.218414,25.376,25.464,1.0,1.0,24.253,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,99.8319,0.991263,-9999,1.41105,19.2182,0.992608,-9999,0.581257,-0.495508,0.181452,0.230519,-0.821701,-0.495508,-0.412354,0.180108,0.181452,0.166667,10.3722,10.0401,10.1604,10.4891,11.0097,10.5869,10.8178,11.0021,13.6715,13.3636,13.7198,15.5344,12.0645,12.2494,12.3548,13.1962,-9999,-9999
200506,25.77,1.0,413.005,208.06,1.0,409.261,0.0,6.134,1.0,100.678,1.0,9.593,1.0,2.311,1.0,0.283775211542,0.744444444444,150.161520833,1.0,388.437888889,1.0,-9999,-9999,20.5963472222,1.0,-9999,-9999,401.429,0.995139,25.395,25.555,1.0,1.0,24.584,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,109.003,0.998611,-9999,1.57249,23.5532,0.998611,-9999,0.599777,0.52791,0.975,0.183151,0.414286,0.62497,0.929188,0.975,0.977778,0.96875,10.647,10.0079,10.5149,11.035,9.88725,9.60734,9.89969,10.0894,11.5944,11.1246,11.5478,12.4029,10.7836,10.5453,10.7557,11.2154,-9999,-9999
200507,25.486,1.0,415.598,203.166,1.0,407.854,0.0,5.99,1.0,100.811,1.0,5.406,1.0,2.267,1.0,0.276123386144,0.993279569892,145.426377688,1.0,380.337594086,1.0,-9999,-9999,20.1783266129,1.0,-9999,-9999,403.119,1.0,25.203,25.377,1.0,1.0,25.421,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,101.499,1.0,-9999,1.53475,23.4966,1.0,-9999,0.605387,1.75108,0.998656,0.198325,1.18202,1.7871,1.959,1.0,0.994624,0.99664,10.7099,9.67829,10.846,11.2162,8.72532,8.54243,8.89503,9.34078,7.29229,7.06852,7.80576,8.73772,8.92861,8.6333,9.09266,9.46427,-9999,-9999
200508,25.85,1.0,427.245,228.658,1.0,408.666,0.0,6.632,1.0,100.747,1.0,1.368,1.0,2.485,1.0,0.298889330239,0.989919354839,161.827150538,1.0,430.542110215,1.0,-9999,-9999,23.1769018817,1.0,-9999,-9999,388.947,1.0,25.327,25.455,1.0,1.0,16.171,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,100.238,0.997984,-9999,1.52253,33.9889,0.999328,-9999,0.661521,-0.486331,0.995968,0.213178,-0.505007,-0.421864,-0.296521,0.995968,0.991935,0.989919,12.4935,12.4053,12.6325,12.91,12.8269,12.9121,13.0262,13.1673,9.52886,9.91328,10.4904,10.7984,11.3862,11.5259,11.6476,11.8234,-9999,-9999
