TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,6.148,0.0,161.296,65.301,0.0,310.713,0.0,1.982,0.0,99.388,0.0,1.768,0.0,1.91,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.73001,0.0,5.98172,-9999,7.66768,0.0,4.71386,-9999,0.161575,0.0,-9999,0.0899685,0.157418,0.161575,0.0,0.0,0.0,0.894671,0.866871,0.879187,0.939398,0.722059,0.718016,0.76893,0.789153,0.944201,0.582737,0.952923,1.97249,0.678702,0.393815,0.671428,1.3868,-9999,-9999
201102,6.549,0.0,223.483,118.418,0.0,295.612,0.0,2.997,0.0,99.211,0.0,1.073,0.0,2.285,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.72063,0.0,8.59714,-9999,7.2465,0.0,6.40896,-9999,0.163827,0.0,-9999,0.0926534,0.160225,0.164025,0.0,0.0,0.0,0.908798,0.879241,0.892742,0.95482,0.734104,0.728844,0.781688,0.80254,0.97727,0.604924,0.986071,2.00888,0.891003,0.66922,0.882483,1.88452,-9999,-9999
201103,9.142,0.0,310.137,161.654,0.0,317.271,0.0,3.443,0.0,99.586,0.0,3.53,0.0,2.447,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.74614,0.0,8.95472,-9999,7.59852,0.0,6.9815,-9999,0.165225,0.0,-9999,0.0925936,0.161009,0.165225,0.0,0.0,0.0,1.00122,0.964562,0.993358,1.05612,0.824979,0.814047,0.877208,0.909448,1.21743,0.768121,1.22656,2.25104,1.02518,0.871005,1.01575,2.19323,-9999,-9999
201104,14.293,0.0,396.784,228.337,0.0,333.357,0.0,6.688,0.0,99.253,0.0,1.111,0.0,1.8,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.73265,0.0,9.40578,-9999,7.51283,0.0,7.26051,-9999,0.163533,0.0,-9999,0.091708,0.159528,0.163533,0.0,0.0,0.0,1.18394,1.11424,1.18394,1.25739,1.00943,0.985592,1.05455,1.12571,1.76995,1.15268,1.77879,2.59508,1.23891,1.18318,1.22813,2.69022,-9999,-9999
201105,17.822,0.0,459.296,290.742,0.0,344.44,0.0,9.069,0.0,99.368,0.0,1.085,0.0,2.001,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.73001,0.0,10.0023,-9999,7.66768,0.0,7.88224,-9999,0.161575,0.0,-9999,0.0899685,0.157418,0.161575,0.0,0.0,0.0,1.30757,1.23207,1.30757,1.39433,1.13496,1.0967,1.17564,1.27648,2.21275,1.46884,2.22045,2.71674,1.40881,1.4116,1.45466,3.09055,-9999,-9999
201106,21.276,0.0,486.271,294.308,0.0,369.922,0.0,9.833,0.0,99.239,0.0,2.319,0.0,1.627,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.73265,0.0,10.2373,-9999,7.51283,0.0,7.90238,-9999,0.163533,0.0,-9999,0.091708,0.159528,0.163533,0.0,0.0,0.0,1.42715,1.34444,1.42715,1.52718,1.25264,1.19965,1.2893,1.42058,2.68098,1.80778,2.687,2.82992,1.44517,1.44803,1.48012,3.17029,-9999,-9999
201107,22.168,0.0,473.004,285.104,0.0,371.799,0.0,10.409,0.0,98.94,0.0,2.22,0.0,1.886,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.72179,0.0,10.3466,-9999,7.27228,0.0,7.73962,-9999,0.163798,0.0,-9999,0.0925619,0.160158,0.163967,0.0,0.0,0.0,1.45765,1.37026,1.45765,1.56115,1.28298,1.2261,1.31789,1.45731,2.80978,1.90208,2.81514,2.8676,1.40867,1.40867,1.44,3.0849,-9999,-9999
201108,24.56,0.0,422.011,272.277,0.0,380.017,0.0,15.363,0.0,99.246,0.0,0.196,0.0,1.417,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.8591,0.471102,9.74614,0.0,9.71712,-9999,7.59852,0.0,7.5759,-9999,0.165225,0.0,-9999,0.0925936,0.161009,0.165225,0.0,0.0,0.0,1.53821,1.43801,1.53821,1.65109,1.36197,1.29192,1.39557,1.55749,3.17628,2.17344,3.14676,3.18876,1.3425,1.34498,1.37512,2.94222,-9999,-9999
201109,21.721,0.0,344.57,204.613,0.0,366.52,0.0,10.556,0.0,99.362,0.0,0.538,0.0,1.608,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.7587,0.0,9.73265,0.0,8.85639,-9999,7.51283,0.0,6.83642,-9999,0.163533,0.0,-9999,0.091708,0.159528,0.163533,0.0,0.0,0.0,1.44232,1.35725,1.44232,1.54409,1.26781,1.21288,1.30394,1.43933,2.74632,1.85571,2.75203,2.84364,1.16191,1.0815,1.15179,2.52136,-9999,-9999
201110,14.943,0.0,255.892,140.132,0.0,330.425,0.0,6.412,0.0,99.607,0.0,1.319,0.0,2.06,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.7499,0.0,9.73001,0.0,5.35949,-9999,7.66768,0.0,4.22352,-9999,0.161575,0.0,-9999,0.0899685,0.157418,0.161575,0.0,0.0,0.0,1.20664,1.13562,1.20664,1.28254,1.03403,1.00759,1.0782,1.15485,1.85233,1.21166,1.86094,2.61735,0.959225,0.775721,0.950398,2.05021,-9999,-9999
