TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,-16.286,0.0,130.709,57.136,0.977151,230.323,0.0,0.131,0.0,98.779,0.0,0.145,0.943548,2.543,0.0,-9999,-9999,-9999,-9999,109.701197557,0.935483870968,-9999,-9999,-9999,1.0,30.8785,0.0,-9999,-9999,88.6192,0.0,-9999,-9999,-1.05975,0.0,-9999,-0.971753,-0.860691,-0.748348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748347,0.748347,0.819737,0.95287,0.214706,0.0597214,0.149268,0.223298,1.21341,0.471589,1.32524,1.60318,-9999,-9999
200502,-10.0,0.0,194.144,94.477,0.891369,234.766,0.0,0.577,0.0,98.329,0.0,0.619,0.723958,2.202,0.0,-9999,-9999,-9999,-9999,196.884325,0.714285714286,-9999,-9999,-9999,1.0,31.0941,0.0,-9999,-9999,87.1441,0.0,-9999,-9999,-1.11778,0.0,-9999,-1.02891,-0.918039,-0.806258,0.0,0.0,0.0,3.01125e-08,3.01125e-08,3.08847e-08,3.24289e-08,0.806258,0.806258,0.87394,1.01093,0.358635,0.154747,0.242933,0.340893,1.70077,0.590918,1.84341,2.22352,-9999,-9999
200503,-7.603,0.0,285.931,167.249,0.97043,229.668,0.0,1.348,0.0,97.821,0.0,0.937,0.938172,2.01,0.0,-9999,-9999,-9999,-9999,326.662672911,0.929435483871,-9999,-9999,-9999,1.0,26.0339,0.0,-9999,-9999,68.9918,0.0,-9999,-9999,-0.929313,0.0,-9999,-1.0146,-0.907289,-0.750943,0.0,0.0,0.0,9.76354e-08,9.83328e-08,1.0182e-07,1.05307e-07,0.939539,0.648419,0.906458,0.988804,0.426944,0.238073,0.345614,0.42135,2.46774,0.772116,2.65441,3.20925,-9999,-9999
200504,2.838,0.0,381.475,204.79,1.0,265.261,0.0,3.286,0.0,98.058,0.0,1.46,0.999306,2.088,0.0,-9999,-9999,-9999,-9999,393.958752733,0.999305555556,-9999,-9999,-9999,1.0,21.8963,0.0,-9999,-9999,56.9763,0.0,-9999,-9999,-0.621102,0.0,-9999,-0.852782,-0.607582,-0.319223,0.0,0.0,0.0,5.03008e-07,5.12376e-07,5.19583e-07,5.31113e-07,0.808758,0.300379,0.588258,0.852784,0.751253,0.441225,0.617009,0.793226,2.89039,0.884995,3.10536,3.75512,-9999,-9999
200505,7.008,0.323925,453.311,206.511,1.0,300.878,0.0,3.319,0.323925,97.949,0.077957,2.239,1.0,2.102,0.106183,-9999,-9999,-9999,-9999,397.137278226,1.0,-9999,-9999,-9999,1.0,20.884,0.322581,-9999,0.894032,57.622,0.323925,-9999,1.39532,-0.540082,0.313172,0.167399,-0.740812,-0.509336,-0.22033,0.313172,0.313172,0.316532,7.6853e-07,7.73412e-07,7.78293e-07,7.93636e-07,0.681237,0.178849,0.497298,0.727306,0.89227,0.522303,0.78845,1.28413,2.91117,0.883815,3.13654,3.82011,-9999,-9999
200506,17.27,1.0,485.441,247.236,1.0,326.288,0.0,6.513,1.0,97.706,1.0,1.43,1.0,2.346,0.954861,0.318602147081,0.831944444444,193.48138125,1.0,475.433790278,1.0,397.942,1.0,-9999,1.0,75.2186,0.996528,-9999,1.13199,55.5417,0.995833,-9999,0.833541,-1.64872,0.977083,0.086992,-1.54376,-1.47021,-1.44606,0.960417,0.968056,0.966667,2.58201,2.44857,2.58295,2.7492,4.03993,4.03993,4.09552,4.26609,3.77008,3.62836,3.71457,3.77008,5.3227,5.10724,5.30853,5.35745,-9999,-9999
200507,19.568,1.0,470.016,241.319,1.0,338.936,0.0,7.386,1.0,98.072,1.0,3.984,1.0,2.019,0.976478,0.276557944795,0.913306451613,202.768459005,1.0,463.379325941,1.0,381.275,1.0,-9999,1.0,68.0704,0.999328,-9999,0.998766,62.5734,0.998656,-9999,0.941133,-2.36887,0.993952,0.0957215,-2.48072,-2.33575,-2.26847,0.981183,0.981183,0.981183,4.18951,3.92734,4.27769,4.46564,6.57202,6.36183,6.43234,6.7272,3.59634,3.59634,3.8326,4.12887,5.92231,5.85367,6.0743,6.26732,-9999,-9999
200508,18.191,1.0,410.955,195.171,1.0,344.157,0.0,6.659,1.0,98.039,1.0,2.384,1.0,1.966,0.988575,0.258651485852,0.872311827957,162.974678763,1.0,375.129436828,1.0,385.21,1.0,-9999,1.0,51.3206,0.998656,-9999,0.834353,48.8064,0.998656,-9999,0.789461,-1.43418,0.978495,0.0682584,-1.55314,-1.49325,-1.2587,0.967742,0.978495,0.981183,3.64765,3.6109,3.64765,3.68979,5.19895,4.97816,5.10756,5.1744,4.14403,4.10977,4.42726,4.70636,5.14758,5.05911,5.2555,5.40735,-9999,-9999
200509,15.664,1.0,324.179,149.194,1.0,327.936,0.0,5.934,1.0,98.105,1.0,2.843,1.0,2.196,0.963889,0.296823337812,0.790972222222,115.790979167,1.0,286.822097917,1.0,386.475,0.997222,-9999,1.0,43.3509,0.974306,-9999,0.797716,26.8969,0.975,-9999,0.726076,-0.469764,0.9625,0.0656981,-0.610933,-0.466082,-0.396124,0.954167,0.961806,0.961806,3.18655,3.12602,3.17629,3.18896,3.58176,3.58176,3.63988,3.66227,2.87507,2.89624,3.04667,3.18843,3.29898,3.24909,3.33666,3.40757,-9999,-9999
200510,7.515,1.0,228.6,86.124,1.0,307.281,0.0,2.594,1.0,98.278,0.999328,7.9,1.0,2.005,0.944892,0.243573026006,0.803091397849,63.8323831217,0.999327956989,166.641117331,0.98252688172,393.427,0.997984,-9999,1.0,21.3456,0.991263,-9999,0.564584,19.2644,0.992608,-9999,0.660327,-0.0867283,0.980511,0.054665,-0.240633,0.0166659,0.205659,0.971102,0.980511,0.976478,1.42612,1.09544,1.25434,1.4095,1.1816,1.1054,1.20868,1.26865,1.50081,1.49085,1.51277,1.52475,1.10347,1.06643,1.08796,1.10119,-9999,-9999
