TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-8.75,0.0,130.881,58.575,0.651882,232.431,0.0,0.159,0.0,96.882,0.0,0.401,0.0,2.059,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.9039,0.0,-9999,-9999,42.892,0.0,-9999,-9999,0.340105,0.0,-9999,0.34079,0.34079,0.341943,0.0,0.0,0.0,0.147384,0.119185,0.129864,0.131874,-0.20634,-0.230101,-0.213739,-0.209482,0.153641,0.153641,0.153641,1.34525,0.0,0.0,0.0,0.503893,-9999,-9999
200202,-6.38,0.0,194.313,92.49,0.599702,235.369,0.0,0.433,0.0,97.166,0.0,1.279,0.0,2.649,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.176,0.165179,17.8679,0.0,-9999,-9999,43.8171,0.0,-9999,-9999,0.306497,0.0,-9999,0.307436,0.308783,0.30897,0.0,0.0,0.0,0.17378,0.146344,0.157286,0.159208,-0.146725,-0.16438,-0.152571,-0.1493,0.166786,0.166786,0.166786,1.46034,0.0,0.0,0.0,0.608431,-9999,-9999
200203,-8.336,0.0,286.073,162.285,0.534274,216.878,0.0,0.689,0.0,97.401,0.0,1.786,0.0,2.353,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.593,0.0,17.943,0.0,-9999,-9999,44.9945,0.0,-9999,-9999,0.248929,0.0,-9999,0.246551,0.248929,0.255358,0.0,0.0,0.0,0.153818,0.127635,0.137692,0.139536,-0.111895,-0.117909,-0.11634,-0.113655,0.155331,0.155331,0.155331,1.36004,0.0,0.0,0.0,0.787503,-9999,-9999
200204,2.368,0.03125,381.568,196.089,0.464583,278.941,0.0,2.035,0.03125,97.164,0.0,2.951,0.0,2.27,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.28357,0.01875,18.3303,0.030556,28.4452,0.721339,45.2217,0.03125,70.1754,1.91333,0.270915,0.0298611,0.0487636,0.269662,0.271294,0.275749,0.0298611,0.0298611,0.0298611,0.284026,0.279124,0.284006,0.284055,0.00917857,0.00827578,0.00944898,0.0119352,0.208716,0.208716,0.208716,1.82747,0.0,0.0,0.0,0.8883,-9999,-9999
200205,8.437,0.88172,453.35,251.682,0.889785,296.521,0.0,5.744,0.88172,97.09,0.813172,2.765,0.813844,2.819,0.785618,0.338950743218,0.754032258065,161.840874651,0.79502688172,491.260253333,0.795698924731,369.964,0.88172,9.747,0.88172,8.09195,0.88172,17.5796,0.882392,27.2801,0.322125,73.7064,0.882392,114.378,1.04327,0.371382,0.877688,0.031983,0.323905,0.326981,0.356068,0.87836,0.87836,0.875672,0.513603,0.538325,0.548206,0.577902,0.209995,0.209995,0.218954,0.225876,0.60748,0.603911,0.60903,0.887417,0.2767,0.273746,0.284797,0.455692,-9999,-9999
200206,16.871,1.0,485.449,232.652,1.0,364.282,0.0,6.734,1.0,96.984,1.0,2.91,1.0,2.26,0.978472,0.289190736532,0.960416666667,162.046145833,1.0,447.407170833,1.0,367.06,1.0,17.342,1.0,8.05536,1.0,45.367,0.995139,76.9598,0.62331,45.3645,0.994444,76.9555,0.79108,-1.44929,0.983333,0.075992,-1.49456,-1.48433,-1.44929,0.985417,0.986806,0.983333,1.49977,1.57193,1.62013,1.77605,3.09747,3.06549,3.09747,3.23077,1.14955,1.16985,1.62783,1.9266,2.95658,2.95753,3.25494,3.43223,-9999,-9999
200207,20.906,0.834677,470.038,272.386,0.84543,376.077,0.0,7.823,0.834677,97.195,0.741935,2.654,0.741935,1.926,0.737231,0.28606926165,0.662634408602,193.798719203,0.73185483871,543.930168089,0.731182795699,367.067,0.834677,20.524,0.834677,6.26865,0.834677,70.7533,0.831989,123.113,0.674139,28.2982,0.831317,49.2397,0.524843,-3.83473,0.80578,0.060395,-4.15383,-4.12282,-3.84562,0.826613,0.826613,0.794355,1.53628,1.14606,1.1673,2.48698,5.3142,5.30543,5.33271,6.23435,1.1926,1.25326,1.44539,1.61948,5.61082,5.53027,5.64108,5.93775,-9999,-9999
200208,17.638,1.0,411.022,226.918,1.0,354.501,0.0,4.801,1.0,97.297,1.0,2.81,1.0,2.074,0.976478,0.286041953632,0.922715053763,155.151323925,1.0,436.379954973,1.0,363.63,1.0,18.368,1.0,0.444107,1.0,63.428,0.99664,117.627,0.74523,19.9194,0.995968,36.9406,0.651512,-2.99365,0.979839,0.0844061,-3.53336,-3.48541,-2.99365,0.994624,0.987903,0.979839,2.57247,2.4815,2.57247,3.0588,6.03762,5.96339,6.01486,6.08308,1.07355,1.0497,1.25962,1.55095,4.95526,4.91832,5.00621,5.14752,-9999,-9999
200209,14.319,1.0,324.3,160.095,1.0,339.243,0.0,4.171,1.0,97.008,1.0,3.16,1.0,2.063,0.996528,0.246604842978,0.920833333333,107.231230556,1.0,307.856399306,1.0,368.66,0.997917,15.75,1.0,-2.46089,1.0,42.5717,0.991667,83.3645,0.548099,13.2533,0.991667,25.9528,0.514616,-0.689989,0.954167,0.0592737,-1.08789,-1.05885,-0.692154,0.972222,0.978472,0.953472,2.42118,2.26852,2.37694,2.6635,3.37022,3.33667,3.35945,3.39776,0.870699,0.97288,1.05041,1.15526,2.7023,2.7023,2.73713,2.82774,-9999,-9999
200210,2.694,1.0,228.758,78.729,0.928763,276.247,0.0,1.817,1.0,97.309,0.999328,3.239,1.0,1.948,0.983199,0.267506988419,0.988575268817,51.3053150452,0.999327956989,155.253290833,0.806451612903,357.464,0.99664,6.24,1.0,-8.00802,1.0,13.9198,1.0,25.4236,0.325274,18.5678,1.0,33.9128,0.622517,0.115181,0.989247,0.0597189,0.191633,0.193253,0.194666,0.981183,0.981855,0.997312,0.67902,0.623378,0.631712,0.688035,0.428141,0.42744,0.438413,0.497316,0.316028,0.456297,0.493361,0.593277,0.261254,0.317603,0.332472,0.367646,-9999,-9999
