TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200211,-22.786,1.0,11.1027,6.369,1.0,196.333,0.999306,0.306,1.0,102.097,1.0,0.0,1.0,2.269,0.0,-9999,-9999,-21.0120486111,1.0,-9999,-9999,4.51833333333,1.0,218.879402778,1.0,362.692,0.0,-14.805,-9.297,-1.87,1.0,1.0,1.0,-4.36757,0.0,0.730811,0.788194,-9999,0.0585018,-6.44894,0.836111,-9999,0.261802,0.28254,0.659722,0.00277859,0.186074,0.28254,0.293373,0.588194,0.659722,0.665278,0.0945926,0.085381,0.0874136,0.0891943,-0.193395,-0.196591,-0.173758,-0.0997095,0.127191,0.0440819,0.115539,0.127191,0.000770516,0.000833477,0.00106423,0.00211734,-9999,-9999
200212,-32.111,1.0,0.0,0.04,1.0,188.616,1.0,0.149,1.0,101.653,1.0,0.0,1.0,2.136,0.0,-9999,-9999,-0.776370967742,1.0,-9999,-9999,0.144737903226,1.0,189.286639785,1.0,360.882,0.0,-14.592,-12.909,-9.982,1.0,1.0,1.0,-5.02882,0.141129,0.258192,0.0,-9999,0.0576747,-5.05634,0.0,-9999,0.463901,0.26227,0.0,0.0131113,0.194889,0.261827,0.26986,0.0,0.0,0.0,0.0295808,0.0281195,0.0283434,0.0295808,-0.233599,-0.234761,-0.228176,-0.167755,0.0631473,0.00347119,0.0560153,0.0631473,0.0,0.0,0.0,0.0,-9999,-9999
200301,-30.545,1.0,2.60414,1.078,1.0,192.871,1.0,0.156,1.0,101.741,1.0,0.0,1.0,2.23,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,194.313017473,1.0,359.479,0.0,-16.106,-14.846,-13.278,1.0,1.0,1.0,-5.17447,1.0,0.304427,0.0,-9999,-9999,-3.68664,0.0,-9999,-9999,0.260117,0.0,-9999,0.179021,0.259763,0.270932,0.0,0.0,0.0,0.0220236,0.0134091,0.0166586,0.0220236,-0.239206,-0.246978,-0.232017,-0.166396,0.0447744,0.0101126,0.0218458,0.0549854,0.015047,0.0124773,0.0149575,0.0410584,-9999,-9999
200302,-34.512,1.0,41.9261,24.146,1.0,171.543,1.0,0.16,1.0,102.462,1.0,0.0,1.0,2.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,181.714769345,1.0,373.613,0.0,-17.236,-16.029,-14.353,1.0,1.0,1.0,-6.14578,1.0,10.3056,0.0,-9999,-9999,33.9798,0.0,-9999,-9999,0.261769,0.0,-9999,0.256032,0.261215,0.274063,0.0,0.0,0.0,0.0272101,0.019945,0.0224315,0.0320325,-0.22877,-0.242282,-0.238777,-0.22877,0.0539637,0.0282355,0.0393968,0.0608532,0.137134,0.124972,0.135393,0.642303,-9999,-9999
200303,-22.013,1.0,140.584,90.022,1.0,186.196,1.0,0.41,1.0,101.937,1.0,0.329,1.0,1.966,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,211.399590054,1.0,375.885,0.0,-16.868,-15.84,-14.868,1.0,1.0,1.0,-2.89425,1.0,7.61192,0.0,-9999,-9999,10.7525,0.0,-9999,-9999,0.388763,0.0,-9999,0.391594,0.399552,0.486259,0.0,0.0,0.0,0.104322,0.075797,0.0856989,0.119606,-0.294103,-0.322885,-0.31586,-0.299331,0.207077,0.10485,0.148447,0.234075,0.297559,0.280821,0.293021,1.79873,-9999,-9999
200304,-16.59,1.0,277.902,191.343,1.0,186.668,0.999306,0.68,1.0,100.909,1.0,0.02,1.0,2.283,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,228.466172121,0.997222222222,375.243,0.0,-14.061,-13.773,-13.391,1.0,1.0,1.0,-1.26823,1.0,14.9319,0.0,-9999,-9999,46.3781,0.0,-9999,-9999,0.34641,0.0,-9999,0.350734,0.359133,0.432791,0.0,0.0,0.0,0.182362,0.139793,0.153156,0.241073,-0.174345,-0.210941,-0.20636,-0.174345,0.359632,0.220978,0.284638,0.397264,0.44864,0.429735,0.441327,3.0875,-9999,-9999
200305,2.168,1.0,409.97,223.806,1.0,261.168,1.0,2.939,1.0,100.909,1.0,0.081,1.0,3.851,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,321.257177419,1.0,374.862,0.693548,1.218,-0.351,-2.822,1.0,1.0,1.0,2.26603,1.0,17.9078,0.693548,-9999,0.185544,51.6543,0.693548,-9999,0.649616,0.40383,0.659946,0.00442634,0.40383,0.406621,0.438277,0.659946,0.668683,0.604167,0.602411,0.528346,0.541147,1.0756,0.184356,0.124179,0.136433,0.608356,1.13993,1.0894,1.14113,1.17112,0.54117,0.515306,0.532591,3.60135,-9999,-9999
200306,9.966,1.0,485.532,233.268,1.0,312.809,1.0,5.084,1.0,100.51,1.0,0.403,1.0,3.061,0.0,0.255003626543,0.753472222222,-9999,-9999,-9999,-9999,-9999,-9999,367.648666667,1.0,366.591,0.996528,3.085,8.419,2.174,1.0,1.0,1.0,2.18742,1.0,36.6054,0.995833,-9999,0.321238,48.8208,0.995833,-9999,0.560813,0.176858,0.986806,0.0103628,0.171544,0.176689,0.180311,0.993056,0.983333,0.969444,1.09579,1.0782,1.08618,1.43328,0.917512,0.90548,0.912273,1.2439,1.51351,1.4875,1.49758,1.6308,0.585652,0.564697,0.604305,3.79142,-9999,-9999
200307,14.935,1.0,450.71,234.392,1.0,332.989,1.0,7.653,1.0,100.962,1.0,0.439,1.0,3.44,0.0,0.29270456503,0.867607526882,-9999,-9999,-9999,-9999,-9999,-9999,393.025866935,1.0,364.752,0.998656,3.361,12.417,6.549,1.0,1.0,1.0,2.52847,1.0,49.859,0.997312,-9999,0.366859,32.294,0.998656,-9999,0.44813,-1.88108,0.966398,0.022055,-1.88108,-1.86395,-1.85191,0.966398,0.911962,0.975806,2.00312,1.90927,1.97749,2.00312,3.8629,3.74275,3.85867,3.86356,1.74444,1.69179,1.7775,2.29708,0.56398,0.544963,0.581873,4.21826,-9999,-9999
200308,10.694,1.0,332.869,168.412,1.0,310.868,1.0,4.793,1.0,101.198,1.0,0.168,1.0,3.255,0.0,0.224973958333,0.774193548387,-9999,-9999,-9999,-9999,-9999,-9999,368.261848118,1.0,365.633,1.0,1.824,9.129,5.428,1.0,1.0,1.0,1.7437,1.0,25.9943,1.0,-9999,0.303535,20.6524,1.0,-9999,0.454298,-0.548041,0.924731,0.0191879,-0.589362,-0.548586,-0.541485,0.90457,0.940188,0.979839,2.13497,2.08556,2.14297,2.16971,2.7093,2.62643,2.71051,2.73561,1.54475,1.51155,1.54475,1.68451,0.450511,0.435513,0.46477,2.51101,-9999,-9999
